node_id,lat,lon,location,"lat,lon"
6009981628,5.649263,-0.1839016,West African Center For Crop Improvement,"5.649263,-0.1839016"
6009981629,5.6493886,-0.183903,Agric Science Extension,"5.6493886,-0.183903"
7084797645,5.6450208,-0.194383,,"5.6450208,-0.194383"
6009981630,5.6492502,-0.1834896,,"5.6492502,-0.1834896"
6720686109,5.6498747,-0.1893532,Language Center,"5.6498747,-0.1893532"
6009981618,5.6493976,-0.1831613,,"5.6493976,-0.1831613"
6720686105,5.6500722,-0.189096,,"5.6500722,-0.189096"
7084797659,5.6446516,-0.1910698,,"5.6446516,-0.1910698"
7084797662,5.6447858,-0.1909566,,"5.6447858,-0.1909566"
2826898657,5.6557309,-0.1864426,,"5.6557309,-0.1864426"
2826898656,5.6556734,-0.1888729,,"5.6556734,-0.1888729"
9143740832,5.6467217,-0.1855282,Gonja Park,"5.6467217,-0.1855282"
6594879924,5.653077,-0.1836696,,"5.653077,-0.1836696"
6594879925,5.6530783,-0.1839033,,"5.6530783,-0.1839033"
6594879926,5.6532662,-0.183905,,"5.6532662,-0.183905"
6594879927,5.6529683,-0.1839023,,"5.6529683,-0.1839023"
4792184068,5.6447279,-0.1938881,,"5.6447279,-0.1938881"
6009981585,5.6467623,-0.1804894,,"5.6467623,-0.1804894"
4792184073,5.6449032,-0.1936746,,"5.6449032,-0.1936746"
6744822448,5.6460738,-0.1938164,,"5.6460738,-0.1938164"
6744822451,5.6459497,-0.1934669,,"5.6459497,-0.1934669"
6744822460,5.6470454,-0.1925719,,"5.6470454,-0.1925719"
6744822463,5.6467437,-0.1927374,,"5.6467437,-0.1927374"
6720686120,5.6486522,-0.1879419,,"5.6486522,-0.1879419"
2826898626,5.6545325,-0.1891063,,"5.6545325,-0.1891063"
7113398081,5.6597897,-0.1925873,,"5.6597897,-0.1925873"
2826898625,5.6545147,-0.1858824,,"5.6545147,-0.1858824"
3425614060,5.6567371,-0.18142,,"5.6567371,-0.18142"
